time,ch0,ch1
00:00:00.166.500,0.4395,-0.2075
00:00:00.166.750,0.4590,-0.0586
00:00:00.167.000,0.4688,0.0708
00:00:00.167.250,0.4980,0.2197
00:00:00.167.500,0.4883,0.3491
00:00:00.167.750,0.4688,0.4688
00:00:00.168.000,0.4492,0.5981
00:00:00.168.250,0.4297,0.7080
00:00:00.168.500,0.3882,0.8179
00:00:00.168.750,0.3394,0.9058
00:00:00.169.000,0.2686,1.0059
00:00:00.169.250,0.2197,1.0767
00:00:00.169.500,0.1904,1.1548
00:00:00.169.750,0.1392,1.2256
00:00:00.170.000,0.1001,1.2939
00:00:00.170.250,0.0806,1.3550
00:00:00.170.500,0.0415,1.4233
00:00:00.170.750,0.0195,1.4746
00:00:00.171.000,0.0000,1.5137
00:00:00.171.250,-0.0195,1.5723
00:00:00.171.500,-0.0195,1.5942
00:00:00.171.750,-0.0195,1.6235
00:00:00.172.000,-0.0586,1.6821
00:00:00.172.250,-0.0781,1.6919
00:00:00.172.500,-0.0488,1.7236
00:00:00.172.750,-0.0684,1.7725
00:00:00.173.000,-0.1001,1.7920
00:00:00.173.250,-0.1099,1.8115
00:00:00.173.500,-0.1489,1.7920
00:00:00.173.750,-0.1489,1.7114
00:00:00.174.000,-0.1978,1.5820
00:00:00.174.250,-0.1978,1.4746
00:00:00.174.500,-0.2075,1.3745
00:00:00.174.750,-0.2173,1.2646
00:00:00.175.000,-0.2490,1.1353
00:00:00.175.250,-0.2490,1.0059
00:00:00.175.500,-0.3076,0.8374
00:00:00.175.750,-0.3271,0.6665
00:00:00.176.000,-0.3369,0.4980
00:00:00.176.250,-0.3271,0.3589
00:00:00.176.500,-0.3589,0.2100
00:00:00.176.750,-0.4077,0.0708
00:00:00.177.000,-0.3979,-0.1099
00:00:00.177.250,-0.3979,-0.2490
00:00:00.177.500,-0.3979,-0.3784
00:00:00.177.750,-0.3687,-0.5176
00:00:00.178.000,-0.3369,-0.6372
00:00:00.178.250,-0.3076,-0.7471
00:00:00.178.500,-0.2393,-0.8545
00:00:00.178.750,-0.1978,-0.9546
00:00:00.179.000,-0.1587,-1.0352
00:00:00.179.250,-0.1099,-1.1133
00:00:00.179.500,-0.0781,-1.1841
00:00:00.179.750,-0.0293,-1.2427
00:00:00.180.000,-0.0098,-1.3135
00:00:00.180.250,0.0000,-1.3721
00:00:00.180.500,0.0415,-1.4429
00:00:00.180.750,0.0513,-1.4917
00:00:00.181.000,0.0708,-1.5332
00:00:00.181.250,0.0708,-1.5723
00:00:00.181.500,0.0903,-1.6211
00:00:00.181.750,0.0903,-1.6528
00:00:00.182.000,0.1196,-1.6919
00:00:00.182.250,0.1294,-1.7212
00:00:00.182.500,0.1294,-1.7603
00:00:00.182.750,0.1294,-1.7920
00:00:00.183.000,0.1196,-1.8213
00:00:00.183.250,0.1489,-1.8213
00:00:00.183.500,0.2100,-1.8115
00:00:00.183.750,0.1904,-1.7114
00:00:00.184.000,0.2197,-1.6309
00:00:00.184.250,0.2686,-1.5112
00:00:00.184.500,0.2783,-1.4038
00:00:00.184.750,0.3003,-1.2939
00:00:00.185.000,0.3003,-1.1646
00:00:00.185.250,0.3394,-1.0156
00:00:00.185.500,0.3687,-0.8643
00:00:00.185.750,0.3882,-0.6860
00:00:00.186.000,0.3784,-0.5273
00:00:00.186.250,0.3979,-0.3687
00:00:00.186.500,0.4175,-0.2173
00:00:00.186.750,0.4590,-0.0684
00:00:00.187.000,0.4785,0.0806
00:00:00.187.250,0.4980,0.2295
00:00:00.187.500,0.4883,0.3491
00:00:00.187.750,0.4590,0.4785
00:00:00.188.000,0.4590,0.5884
00:00:00.188.250,0.4077,0.7080
00:00:00.188.500,0.3784,0.8179
00:00:00.188.750,0.3101,0.9155
00:00:00.189.000,0.2490,0.9961
00:00:00.189.250,0.2002,1.0767
00:00:00.189.500,0.1489,1.1646
00:00:00.189.750,0.1196,1.2451
00:00:00.190.000,0.1001,1.3135
00:00:00.190.250,0.0708,1.3647
00:00:00.190.500,0.0415,1.4429
00:00:00.190.750,0.0098,1.4844
00:00:00.191.000,-0.0195,1.5332
00:00:00.191.250,-0.0391,1.5723
00:00:00.191.500,-0.0391,1.6138
00:00:00.191.750,-0.0586,1.6431
00:00:00.192.000,-0.0586,1.6821
00:00:00.192.250,-0.0781,1.7017
00:00:00.192.500,-0.0781,1.7334
00:00:00.192.750,-0.0684,1.7725
00:00:00.193.000,-0.1001,1.8213
00:00:00.193.250,-0.1392,1.8213
00:00:00.193.500,-0.1392,1.8115
00:00:00.193.750,-0.1978,1.7432
00:00:00.194.000,-0.2173,1.6138
00:00:00.194.250,-0.1978,1.5039
00:00:00.194.500,-0.2075,1.3940
00:00:00.194.750,-0.2393,1.2744
00:00:00.195.000,-0.2588,1.1548
00:00:00.195.250,-0.2686,1.0156
00:00:00.195.500,-0.2979,0.8569
00:00:00.195.750,-0.3271,0.6763
00:00:00.196.000,-0.3467,0.5078
00:00:00.196.250,-0.3467,0.3589
00:00:00.196.500,-0.3979,0.2100
00:00:00.196.750,-0.4077,0.0610
00:00:00.197.000,-0.4272,-0.0879
00:00:00.197.250,-0.4272,-0.2295
00:00:00.197.500,-0.4175,-0.3687
00:00:00.197.750,-0.3979,-0.4980
00:00:00.198.000,-0.3784,-0.6055
00:00:00.198.250,-0.3271,-0.7471
00:00:00.198.500,-0.2588,-0.8350
00:00:00.198.750,-0.2173,-0.9351
00:00:00.199.000,-0.1587,-1.0156
00:00:00.199.250,-0.1196,-1.1133
00:00:00.199.500,-0.0781,-1.1938
00:00:00.199.750,-0.0293,-1.2646
00:00:00.200.000,0.0000,-1.3232
00:00:00.200.250,0.0098,-1.3940
00:00:00.200.500,0.0195,-1.4429
00:00:00.200.750,0.0415,-1.4917
00:00:00.201.000,0.0806,-1.5527
00:00:00.201.250,0.0806,-1.5918
00:00:00.201.500,0.1001,-1.6309
00:00:00.201.750,0.1001,-1.6626
00:00:00.202.000,0.1294,-1.7212
00:00:00.202.250,0.1392,-1.7407
00:00:00.202.500,0.1489,-1.7603
00:00:00.202.750,0.1294,-1.8213
00:00:00.203.000,0.1392,-1.8408
00:00:00.203.250,0.1587,-1.8604
00:00:00.203.500,0.2197,-1.8213
00:00:00.203.750,0.1904,-1.7212
00:00:00.204.000,0.2490,-1.6309
00:00:00.204.250,0.2588,-1.5112
00:00:00.204.500,0.2783,-1.4038
00:00:00.204.750,0.3003,-1.2939
00:00:00.205.000,0.3101,-1.1646
00:00:00.205.250,0.3296,-1.0352
00:00:00.205.500,0.3784,-0.8643
00:00:00.205.750,0.3784,-0.6958
00:00:00.206.000,0.3882,-0.5273
00:00:00.206.250,0.4077,-0.3882
00:00:00.206.500,0.4492,-0.2173
00:00:00.206.750,0.4785,-0.0586
00:00:00.207.000,0.4688,0.0708
00:00:00.207.250,0.4883,0.2100
00:00:00.207.500,0.4883,0.3687
00:00:00.207.750,0.4883,0.4688
00:00:00.208.000,0.4590,0.5981
00:00:00.208.250,0.4395,0.6982
00:00:00.208.500,0.3784,0.8179
00:00:00.208.750,0.3101,0.9155
00:00:00.209.000,0.2686,0.9961
00:00:00.209.250,0.2197,1.0767
00:00:00.209.500,0.1587,1.1646
00:00:00.209.750,0.1294,1.2158
00:00:00.210.000,0.0708,1.3037
00:00:00.210.250,0.0708,1.3550
00:00:00.210.500,0.0513,1.4233
00:00:00.210.750,0.0293,1.4746
00:00:00.211.000,-0.0098,1.5234
00:00:00.211.250,-0.0293,1.5723
00:00:00.211.500,-0.0488,1.6138
00:00:00.211.750,-0.0488,1.6528
00:00:00.212.000,-0.0586,1.6821
00:00:00.212.250,-0.0684,1.7017
00:00:00.212.500,-0.0586,1.7432
00:00:00.212.750,-0.0781,1.7822
00:00:00.213.000,-0.0879,1.8213
00:00:00.213.250,-0.1099,1.8311
00:00:00.213.500,-0.1392,1.8115
00:00:00.213.750,-0.1489,1.7236
00:00:00.214.000,-0.1978,1.6040
00:00:00.214.250,-0.2075,1.4844
00:00:00.214.500,-0.2173,1.3940
00:00:00.214.750,-0.2393,1.2646
00:00:00.215.000,-0.2490,1.1450
00:00:00.215.250,-0.2588,0.9961
00:00:00.215.500,-0.2979,0.8374
00:00:00.215.750,-0.3271,0.6665
00:00:00.216.000,-0.3271,0.5176
00:00:00.216.250,-0.3467,0.3687
00:00:00.216.500,-0.3784,0.2100
00:00:00.216.750,-0.3979,0.0610
00:00:00.217.000,-0.4175,-0.0879
00:00:00.217.250,-0.4175,-0.2393
00:00:00.217.500,-0.4077,-0.3882
00:00:00.217.750,-0.3979,-0.5176
00:00:00.218.000,-0.3467,-0.6470
00:00:00.218.250,-0.2979,-0.7568
00:00:00.218.500,-0.2588,-0.8643
00:00:00.218.750,-0.1880,-0.9546
00:00:00.219.000,-0.1294,-1.0547
00:00:00.219.250,-0.1099,-1.1230
00:00:00.219.500,-0.0586,-1.1841
00:00:00.219.750,-0.0195,-1.2524
00:00:00.220.000,-0.0098,-1.3037
00:00:00.220.250,0.0293,-1.3721
00:00:00.220.500,0.0195,-1.4233
00:00:00.220.750,0.0415,-1.4819
00:00:00.221.000,0.0708,-1.5332
00:00:00.221.250,0.0806,-1.5820
00:00:00.221.500,0.1001,-1.6309
00:00:00.221.750,0.1001,-1.6528
00:00:00.222.000,0.1294,-1.7017
00:00:00.222.250,0.1294,-1.7407
00:00:00.222.500,0.1294,-1.7700
00:00:00.222.750,0.1392,-1.8115
00:00:00.223.000,0.1587,-1.8311
00:00:00.223.250,0.1709,-1.8604
00:00:00.223.500,0.2197,-1.8115
00:00:00.223.750,0.2783,-1.7310
00:00:00.224.000,0.2686,-1.6113
00:00:00.224.250,0.2295,-1.5234
00:00:00.224.500,0.2783,-1.4038
00:00:00.224.750,0.2881,-1.3037
00:00:00.225.000,0.3198,-1.1646
00:00:00.225.250,0.3296,-1.0254
00:00:00.225.500,0.3882,-0.8545
00:00:00.225.750,0.3979,-0.6860
00:00:00.226.000,0.3784,-0.5176
00:00:00.226.250,0.4175,-0.3784
00:00:00.226.500,0.4492,-0.2173
00:00:00.226.750,0.4590,-0.0586
00:00:00.227.000,0.4883,0.0903
00:00:00.227.250,0.5078,0.2197
00:00:00.227.500,0.4980,0.3589
00:00:00.227.750,0.4980,0.4688
00:00:00.228.000,0.4688,0.5884
00:00:00.228.250,0.4395,0.6982
00:00:00.228.500,0.3882,0.8179
00:00:00.228.750,0.3296,0.9058
00:00:00.229.000,0.2588,1.0059
00:00:00.229.250,0.2295,1.0864
00:00:00.229.500,0.1709,1.1450
00:00:00.229.750,0.1489,1.2451
00:00:00.230.000,0.1001,1.3037
00:00:00.230.250,0.0708,1.3647
00:00:00.230.500,0.0293,1.4233
00:00:00.230.750,0.0195,1.4746
00:00:00.231.000,-0.0195,1.5234
00:00:00.231.250,-0.0195,1.5723
00:00:00.231.500,-0.0293,1.5942
00:00:00.231.750,-0.0488,1.6528
00:00:00.232.000,-0.0781,1.6919
00:00:00.232.250,-0.0684,1.7114
00:00:00.232.500,-0.0586,1.7432
00:00:00.232.750,-0.0684,1.7725
00:00:00.233.000,-0.0879,1.8115
00:00:00.233.250,-0.1392,1.8213
00:00:00.233.500,-0.1489,1.8018
00:00:00.233.750,-0.1587,1.7236
00:00:00.234.000,-0.1782,1.5942
00:00:00.234.250,-0.1880,1.4941
00:00:00.234.500,-0.2075,1.3745
00:00:00.234.750,-0.2173,1.2646
00:00:00.235.000,-0.2295,1.1450
00:00:00.235.250,-0.2686,0.9863
00:00:00.235.500,-0.2783,0.8472
00:00:00.235.750,-0.3174,0.7080
00:00:00.236.000,-0.3467,0.5688
00:00:00.236.250,-0.3687,0.3784
00:00:00.236.500,-0.3882,0.2197
00:00:00.236.750,-0.4077,0.0513
00:00:00.237.000,-0.3979,-0.1001
00:00:00.237.250,-0.4077,-0.2783
00:00:00.237.500,-0.3882,-0.4077
00:00:00.237.750,-0.3687,-0.5762
00:00:00.238.000,-0.3271,-0.7056
00:00:00.238.250,-0.2588,-0.8154
00:00:00.238.500,-0.2075,-0.9644
00:00:00.238.750,-0.1489,-0.9741
00:00:00.239.000,-0.1196,-1.0645
00:00:00.239.250,-0.0879,-1.1230
00:00:00.239.500,-0.0488,-1.2134
00:00:00.239.750,-0.0195,-1.2842
00:00:00.240.000,0.0195,-1.3232
00:00:00.240.250,0.0098,-1.3940
00:00:00.240.500,0.0415,-1.4429
00:00:00.240.750,0.0513,-1.4819
00:00:00.241.000,0.0806,-1.5430
00:00:00.241.250,0.0903,-1.5820
00:00:00.241.500,0.1099,-1.6406
00:00:00.241.750,0.1294,-1.6724
00:00:00.242.000,0.1392,-1.7017
00:00:00.242.250,0.1489,-1.7310
00:00:00.242.500,0.1392,-1.7822
00:00:00.242.750,0.1294,-1.7920
00:00:00.243.000,0.1489,-1.8408
00:00:00.243.250,0.1709,-1.8408
00:00:00.243.500,0.2393,-1.8408
00:00:00.243.750,0.3198,-1.7505
00:00:00.244.000,0.2588,-1.6406
00:00:00.244.250,0.2588,-1.5234
00:00:00.244.500,0.2881,-1.4038
00:00:00.244.750,0.2783,-1.2939
00:00:00.245.000,0.3101,-1.1548
00:00:00.245.250,0.3296,-1.0254
00:00:00.245.500,0.3687,-0.8545
00:00:00.245.750,0.3882,-0.6763
00:00:00.246.000,0.4077,-0.5078
00:00:00.246.250,0.4175,-0.3589
00:00:00.246.500,0.4492,-0.2173
00:00:00.246.750,0.4785,-0.0586
00:00:00.247.000,0.4688,0.1001
00:00:00.247.250,0.4980,0.2295
00:00:00.247.500,0.4883,0.3687
00:00:00.247.750,0.4883,0.4883
00:00:00.248.000,0.4590,0.5981
00:00:00.248.250,0.4492,0.6982
00:00:00.248.500,0.3784,0.8057
00:00:00.248.750,0.3101,0.9253
00:00:00.249.000,0.2686,0.9961
00:00:00.249.250,0.2295,1.1060
00:00:00.249.500,0.1807,1.1743
00:00:00.249.750,0.1392,1.2451
00:00:00.250.000,0.1196,1.3037
00:00:00.250.250,0.0610,1.3647
00:00:00.250.500,0.0610,1.4331
00:00:00.250.750,0.0293,1.4844
00:00:00.251.000,0.0098,1.5234
00:00:00.251.250,0.0000,1.5723
00:00:00.251.500,-0.0391,1.6040
00:00:00.251.750,-0.0391,1.6431
00:00:00.252.000,-0.0586,1.6821
00:00:00.252.250,-0.0488,1.6919
00:00:00.252.500,-0.0586,1.7432
00:00:00.252.750,-0.0586,1.7822
00:00:00.253.000,-0.0879,1.8018
00:00:00.253.250,-0.1392,1.8115
00:00:00.253.500,-0.1392,1.8018
00:00:00.253.750,-0.1782,1.6821
00:00:00.254.000,-0.1880,1.5942
00:00:00.254.250,-0.1880,1.4941
00:00:00.254.500,-0.1978,1.3843
00:00:00.254.750,-0.2295,1.2549
00:00:00.255.000,-0.2393,1.1450
00:00:00.255.250,-0.2588,0.9961
00:00:00.255.500,-0.2881,0.8179
00:00:00.255.750,-0.3271,0.6665
00:00:00.256.000,-0.3369,0.5078
00:00:00.256.250,-0.3369,0.3687
00:00:00.256.500,-0.3784,0.2197
00:00:00.256.750,-0.3882,0.0610
00:00:00.257.000,-0.3979,-0.1001
00:00:00.257.250,-0.4077,-0.2783
00:00:00.257.500,-0.3784,-0.4077
00:00:00.257.750,-0.3589,-0.5566
00:00:00.258.000,-0.3369,-0.6763
00:00:00.258.250,-0.2686,-0.7764
00:00:00.258.500,-0.2295,-0.8960
00:00:00.258.750,-0.1782,-0.9644
00:00:00.259.000,-0.1294,-1.0449
00:00:00.259.250,-0.1001,-1.1230
00:00:00.259.500,-0.0684,-1.2036
00:00:00.259.750,-0.0098,-1.2842
00:00:00.260.000,-0.0195,-1.3428
00:00:00.260.250,0.0415,-1.3818
00:00:00.260.500,0.0195,-1.4233
00:00:00.260.750,0.0610,-1.5015
00:00:00.261.000,0.0806,-1.5332
00:00:00.261.250,0.0903,-1.5723
00:00:00.261.500,0.0903,-1.6211
00:00:00.261.750,0.1099,-1.6528
00:00:00.262.000,0.1196,-1.6919
00:00:00.262.250,0.1294,-1.7407
00:00:00.262.500,0.1392,-1.7700
00:00:00.262.750,0.1392,-1.8018
00:00:00.263.000,0.1587,-1.8506
00:00:00.263.250,0.1709,-1.8408
00:00:00.263.500,0.2393,-1.8311
00:00:00.263.750,0.3101,-1.7603
00:00:00.264.000,0.2588,-1.6211
00:00:00.264.250,0.2588,-1.5112
00:00:00.264.500,0.2783,-1.4136
00:00:00.264.750,0.3198,-1.2939
00:00:00.265.000,0.3003,-1.1646
00:00:00.265.250,0.3394,-1.0156
00:00:00.265.500,0.3784,-0.8545
00:00:00.265.750,0.3882,-0.7056
00:00:00.266.000,0.3979,-0.5176
00:00:00.266.250,0.4175,-0.3687
00:00:00.266.500,0.4492,-0.2173
00:00:00.266.750,0.4785,-0.0684
00:00:00.267.000,0.4688,0.0903
00:00:00.267.250,0.4883,0.2393
00:00:00.267.500,0.4785,0.3687
00:00:00.267.750,0.4785,0.4883
00:00:00.268.000,0.4590,0.6079
00:00:00.268.250,0.4395,0.7178
00:00:00.268.500,0.3882,0.8276
00:00:00.268.750,0.3198,0.9253
00:00:00.269.000,0.2686,1.0059
00:00:00.269.250,0.2197,1.0962
00:00:00.269.500,0.1807,1.1646
00:00:00.269.750,0.1392,1.2451
00:00:00.270.000,0.1099,1.3135
00:00:00.270.250,0.0513,1.3647
00:00:00.270.500,0.0415,1.4331
00:00:00.270.750,0.0195,1.4746
00:00:00.271.000,-0.0195,1.5234
00:00:00.271.250,-0.0195,1.5820
00:00:00.271.500,-0.0488,1.6235
00:00:00.271.750,-0.0488,1.6333
00:00:00.272.000,-0.0781,1.6821
00:00:00.272.250,-0.0781,1.7017
00:00:00.272.500,-0.0684,1.7432
00:00:00.272.750,-0.0684,1.7822
00:00:00.273.000,-0.1099,1.8213
00:00:00.273.250,-0.1294,1.8408
00:00:00.273.500,-0.1489,1.8213
00:00:00.273.750,-0.1489,1.7236
00:00:00.274.000,-0.1880,1.6040
00:00:00.274.250,-0.1880,1.5039
00:00:00.274.500,-0.2173,1.3843
00:00:00.274.750,-0.2075,1.2646
00:00:00.275.000,-0.2393,1.1353
00:00:00.275.250,-0.2783,1.0059
00:00:00.275.500,-0.3076,0.8276
00:00:00.275.750,-0.3174,0.6665
00:00:00.276.000,-0.3467,0.5176
00:00:00.276.250,-0.3369,0.3687
00:00:00.276.500,-0.3784,0.2197
00:00:00.276.750,-0.3784,0.0513
00:00:00.277.000,-0.3882,-0.1099
00:00:00.277.250,-0.3882,-0.2686
00:00:00.277.500,-0.3882,-0.4175
00:00:00.277.750,-0.3687,-0.5566
00:00:00.278.000,-0.3369,-0.6665
00:00:00.278.250,-0.2881,-0.7861
00:00:00.278.500,-0.2295,-0.8960
00:00:00.278.750,-0.1880,-0.9644
00:00:00.279.000,-0.1294,-1.0645
00:00:00.279.250,-0.0781,-1.1353
00:00:00.279.500,-0.0684,-1.2134
00:00:00.279.750,-0.0293,-1.2744
00:00:00.280.000,-0.0098,-1.3330
00:00:00.280.250,0.0195,-1.3940
00:00:00.280.500,0.0513,-1.4331
00:00:00.280.750,0.0415,-1.5015
00:00:00.281.000,0.0903,-1.5430
00:00:00.281.250,0.1001,-1.5918
00:00:00.281.500,0.1099,-1.6309
00:00:00.281.750,0.1196,-1.6724
00:00:00.282.000,0.1196,-1.7017
00:00:00.282.250,0.1587,-1.7505
00:00:00.282.500,0.1294,-1.7700
00:00:00.282.750,0.1587,-1.8311
00:00:00.283.000,0.1709,-1.8506
00:00:00.283.250,0.1807,-1.8604
00:00:00.283.500,0.2393,-1.8506
00:00:00.283.750,0.2881,-1.7700
00:00:00.284.000,0.2686,-1.6528
00:00:00.284.250,0.2588,-1.5332
00:00:00.284.500,0.2881,-1.4233
00:00:00.284.750,0.3003,-1.3037
00:00:00.285.000,0.3296,-1.1646
00:00:00.285.250,0.3491,-1.0352
00:00:00.285.500,0.3687,-0.8765
00:00:00.285.750,0.4175,-0.6958
00:00:00.286.000,0.3979,-0.5176
00:00:00.286.250,0.4175,-0.3687
00:00:00.286.500,0.4492,-0.2173
00:00:00.286.750,0.4883,-0.0684
00:00:00.287.000,0.4980,0.0806
00:00:00.287.250,0.5078,0.2295
00:00:00.287.500,0.4980,0.3687
00:00:00.287.750,0.4883,0.4688
00:00:00.288.000,0.4590,0.6079
00:00:00.288.250,0.4297,0.7275
00:00:00.288.500,0.3882,0.8276
00:00:00.288.750,0.3198,0.9351
00:00:00.289.000,0.2490,1.0156
00:00:00.289.250,0.2197,1.1060
00:00:00.289.500,0.1807,1.1743
00:00:00.289.750,0.1392,1.2451
00:00:00.290.000,0.1099,1.3232
00:00:00.290.250,0.0708,1.3843
00:00:00.290.500,0.0610,1.4526
00:00:00.290.750,0.0000,1.4844
00:00:00.291.000,0.0000,1.5527
00:00:00.291.250,-0.0293,1.5820
00:00:00.291.500,-0.0293,1.6235
00:00:00.291.750,-0.0391,1.6528
00:00:00.292.000,-0.0586,1.6821
00:00:00.292.250,-0.0781,1.7114
00:00:00.292.500,-0.0586,1.7725
00:00:00.292.750,-0.0781,1.8018
00:00:00.293.000,-0.1001,1.8408
00:00:00.293.250,-0.1294,1.8530
00:00:00.293.500,-0.1392,1.8408
00:00:00.293.750,-0.1978,1.7236
00:00:00.294.000,-0.2075,1.6138
00:00:00.294.250,-0.2295,1.5039
00:00:00.294.500,-0.2173,1.4038
00:00:00.294.750,-0.2393,1.2842
00:00:00.295.000,-0.2588,1.1450
00:00:00.295.250,-0.2783,1.0059
00:00:00.295.500,-0.3174,0.8374
00:00:00.295.750,-0.3271,0.6665
00:00:00.296.000,-0.3369,0.4883
00:00:00.296.250,-0.3369,0.3491
00:00:00.296.500,-0.3784,0.2100
00:00:00.296.750,-0.3979,0.0513
00:00:00.297.000,-0.4272,-0.1001
00:00:00.297.250,-0.4272,-0.2588
00:00:00.297.500,-0.4077,-0.3882
00:00:00.297.750,-0.3979,-0.5176
00:00:00.298.000,-0.3687,-0.6274
00:00:00.298.250,-0.3076,-0.7251
00:00:00.298.500,-0.2588,-0.8447
00:00:00.298.750,-0.1978,-0.9351
00:00:00.299.000,-0.1489,-1.0254
00:00:00.299.250,-0.1001,-1.1230
00:00:00.299.500,-0.0488,-1.1938
00:00:00.299.750,0.0000,-1.2842
00:00:00.300.000,0.0098,-1.3330
00:00:00.300.250,0.0195,-1.3818
00:00:00.300.500,0.0415,-1.4722
00:00:00.300.750,0.0610,-1.5112
00:00:00.301.000,0.0903,-1.5430
00:00:00.301.250,0.0903,-1.6016
00:00:00.301.500,0.1001,-1.6309
00:00:00.301.750,0.1294,-1.6724
00:00:00.302.000,0.1392,-1.7212
00:00:00.302.250,0.1392,-1.7505
00:00:00.302.500,0.1489,-1.7920
00:00:00.302.750,0.1294,-1.8311
00:00:00.303.000,0.1587,-1.8604
00:00:00.303.250,0.1489,-1.8701
00:00:00.303.500,0.2393,-1.8506
00:00:00.303.750,0.3198,-1.7407
00:00:00.304.000,0.2588,-1.6211
00:00:00.304.250,0.2490,-1.5112
00:00:00.304.500,0.3003,-1.4038
00:00:00.304.750,0.3101,-1.2939
00:00:00.305.000,0.3198,-1.1743
00:00:00.305.250,0.3394,-1.0156
00:00:00.305.500,0.3784,-0.8447
00:00:00.305.750,0.3882,-0.6860
00:00:00.306.000,0.4077,-0.5078
00:00:00.306.250,0.4077,-0.3687
00:00:00.306.500,0.4590,-0.2173
00:00:00.306.750,0.4883,-0.0684
00:00:00.307.000,0.5078,0.0708
00:00:00.307.250,0.5078,0.2295
00:00:00.307.500,0.4980,0.3687
00:00:00.307.750,0.4785,0.4883
00:00:00.308.000,0.4492,0.5981
00:00:00.308.250,0.4395,0.7080
00:00:00.308.500,0.3979,0.8179
00:00:00.308.750,0.3198,0.9253
00:00:00.309.000,0.2588,1.0156
00:00:00.309.250,0.2197,1.1060
00:00:00.309.500,0.1807,1.1841
00:00:00.309.750,0.1294,1.2451
00:00:00.310.000,0.1001,1.3037
00:00:00.310.250,0.0513,1.3745
00:00:00.310.500,0.0293,1.4233
00:00:00.310.750,0.0000,1.5039
00:00:00.311.000,-0.0098,1.5332
00:00:00.311.250,-0.0391,1.5942
00:00:00.311.500,-0.0391,1.6333
00:00:00.311.750,-0.0684,1.6626
00:00:00.312.000,-0.0684,1.7017
00:00:00.312.250,-0.0586,1.7236
00:00:00.312.500,-0.1001,1.7529
00:00:00.312.750,-0.0781,1.8115
00:00:00.313.000,-0.1001,1.8408
00:00:00.313.250,-0.1489,1.8628
00:00:00.313.500,-0.1587,1.8530
00:00:00.313.750,-0.2173,1.7529
00:00:00.314.000,-0.2295,1.6138
00:00:00.314.250,-0.2075,1.5137
00:00:00.314.500,-0.2075,1.3940
00:00:00.314.750,-0.2686,1.2744
00:00:00.315.000,-0.2490,1.1548
00:00:00.315.250,-0.2686,1.0156
00:00:00.315.500,-0.2979,0.8374
00:00:00.315.750,-0.3076,0.6665
00:00:00.316.000,-0.3174,0.4883
00:00:00.316.250,-0.3687,0.3296
00:00:00.316.500,-0.3687,0.1904
00:00:00.316.750,-0.3979,0.0513
00:00:00.317.000,-0.3882,-0.1099
00:00:00.317.250,-0.4175,-0.2588
00:00:00.317.500,-0.4077,-0.3784
00:00:00.317.750,-0.3687,-0.5176
00:00:00.318.000,-0.3687,-0.6177
00:00:00.318.250,-0.3174,-0.7251
00:00:00.318.500,-0.2588,-0.8252
00:00:00.318.750,-0.2075,-0.9448
00:00:00.319.000,-0.1392,-1.0449
00:00:00.319.250,-0.1001,-1.1133
00:00:00.319.500,-0.0684,-1.2134
00:00:00.319.750,-0.0293,-1.2842
00:00:00.320.000,0.0000,-1.3428
00:00:00.320.250,0.0195,-1.4233
00:00:00.320.500,0.0513,-1.4624
00:00:00.320.750,0.0806,-1.5112
00:00:00.321.000,0.0806,-1.5625
00:00:00.321.250,0.1001,-1.5918
00:00:00.321.500,0.1001,-1.6406
00:00:00.321.750,0.1196,-1.6919
00:00:00.322.000,0.1196,-1.7114
00:00:00.322.250,0.1489,-1.7505
00:00:00.322.500,0.1489,-1.7822
00:00:00.322.750,0.1392,-1.8213
00:00:00.323.000,0.1294,-1.8506
00:00:00.323.250,0.1709,-1.8604
00:00:00.323.500,0.2197,-1.8408
00:00:00.323.750,0.2783,-1.7700
00:00:00.324.000,0.2686,-1.6406
00:00:00.324.250,0.2588,-1.5332
00:00:00.324.500,0.3003,-1.4233
00:00:00.324.750,0.3101,-1.2939
00:00:00.325.000,0.3296,-1.1646
00:00:00.325.250,0.3296,-1.0156
00:00:00.325.500,0.3687,-0.8643
00:00:00.325.750,0.3979,-0.6763
00:00:00.326.000,0.3882,-0.5273
00:00:00.326.250,0.4077,-0.3589
00:00:00.326.500,0.4395,-0.2173
00:00:00.326.750,0.4688,-0.0586
00:00:00.327.000,0.4785,0.1001
00:00:00.327.250,0.4785,0.2490
00:00:00.327.500,0.4883,0.3784
00:00:00.327.750,0.4590,0.4980
00:00:00.328.000,0.4297,0.6177
00:00:00.328.250,0.4175,0.7373
00:00:00.328.500,0.3784,0.8276
00:00:00.328.750,0.3198,0.9473
00:00:00.329.000,0.2588,1.0254
00:00:00.329.250,0.1807,1.1157
00:00:00.329.500,0.1709,1.1841
00:00:00.329.750,0.1392,1.2451
00:00:00.330.000,0.0806,1.3135
00:00:00.330.250,0.0610,1.3843
00:00:00.330.500,0.0415,1.4429
00:00:00.330.750,0.0098,1.5039
00:00:00.331.000,0.0000,1.5332
00:00:00.331.250,-0.0195,1.5942
00:00:00.331.500,-0.0586,1.6431
00:00:00.331.750,-0.0586,1.6626
00:00:00.332.000,-0.0684,1.6919
00:00:00.332.250,-0.0879,1.7236
00:00:00.332.500,-0.0684,1.7529
00:00:00.332.750,-0.0684,1.7822
00:00:00.333.000,-0.1001,1.8213
00:00:00.333.250,-0.1489,1.8311
