time,ch0,ch1
00:00:00.038.000,-0.3589,-0.5957
00:00:00.038.250,-0.2979,-0.7056
00:00:00.038.500,-0.2588,-0.8252
00:00:00.038.750,-0.1978,-0.9351
00:00:00.039.000,-0.1392,-1.0254
00:00:00.039.250,-0.0879,-1.1230
00:00:00.039.500,-0.0488,-1.1841
00:00:00.039.750,0.0000,-1.2842
00:00:00.040.000,0.0098,-1.3428
00:00:00.040.250,0.0415,-1.4038
00:00:00.040.500,0.0513,-1.4624
00:00:00.040.750,0.0610,-1.5112
00:00:00.041.000,0.1099,-1.5527
00:00:00.041.250,0.1001,-1.6016
00:00:00.041.500,0.1294,-1.6528
00:00:00.041.750,0.1294,-1.6821
00:00:00.042.000,0.1489,-1.7212
00:00:00.042.250,0.1392,-1.7407
00:00:00.042.500,0.1587,-1.7505
00:00:00.042.750,0.1807,-1.7920
00:00:00.043.000,0.1587,-1.8018
00:00:00.043.250,0.1587,-1.8213
00:00:00.043.500,0.2100,-1.8018
00:00:00.043.750,0.4395,-1.7407
00:00:00.044.000,0.2393,-1.6309
00:00:00.044.250,0.2588,-1.5332
00:00:00.044.500,0.2783,-1.4136
00:00:00.044.750,0.2783,-1.2939
00:00:00.045.000,0.3198,-1.1743
00:00:00.045.250,0.3394,-1.0352
00:00:00.045.500,0.3687,-0.8765
00:00:00.045.750,0.4077,-0.7056
00:00:00.046.000,0.4077,-0.5273
00:00:00.046.250,0.4175,-0.3784
00:00:00.046.500,0.4492,-0.2295
00:00:00.046.750,0.4785,-0.0781
00:00:00.047.000,0.4883,0.0610
00:00:00.047.250,0.5078,0.2002
00:00:00.047.500,0.5078,0.3394
00:00:00.047.750,0.4883,0.4590
00:00:00.048.000,0.4785,0.5688
00:00:00.048.250,0.4590,0.6763
00:00:00.048.500,0.4297,0.7959
00:00:00.048.750,0.3491,0.8960
00:00:00.049.000,0.2783,0.9766
00:00:00.049.250,0.2295,1.0767
00:00:00.049.500,0.2100,1.1548
00:00:00.049.750,0.1807,1.2256
00:00:00.050.000,0.1294,1.2744
00:00:00.050.250,0.1001,1.3550
00:00:00.050.500,0.0708,1.4136
00:00:00.050.750,0.0415,1.4746
00:00:00.051.000,0.0195,1.5137
00:00:00.051.250,-0.0098,1.5625
00:00:00.051.500,-0.0098,1.6138
00:00:00.051.750,-0.0098,1.6235
00:00:00.052.000,-0.0488,1.6431
00:00:00.052.250,-0.0586,1.6626
00:00:00.052.500,-0.0293,1.7114
00:00:00.052.750,-0.0293,1.7432
00:00:00.053.000,-0.0488,1.7822
00:00:00.053.250,-0.1001,1.8823
00:00:00.053.500,-0.1489,1.8408
00:00:00.053.750,-0.2490,1.7529
00:00:00.054.000,-0.2075,1.6431
00:00:00.054.250,-0.1880,1.5430
00:00:00.054.500,-0.2075,1.4331
00:00:00.054.750,-0.2295,1.3135
00:00:00.055.000,-0.2490,1.1841
00:00:00.055.250,-0.2783,1.0547
00:00:00.055.500,-0.3174,0.8862
00:00:00.055.750,-0.3174,0.6982
00:00:00.056.000,-0.3271,0.5273
00:00:00.056.250,-0.3271,0.3589
00:00:00.056.500,-0.3369,0.2100
00:00:00.056.750,-0.3784,0.0708
00:00:00.057.000,-0.3784,-0.0781
00:00:00.057.250,-0.3979,-0.2173
00:00:00.057.500,-0.3979,-0.3687
00:00:00.057.750,-0.3979,-0.5078
00:00:00.058.000,-0.3369,-0.6177
00:00:00.058.250,-0.2979,-0.7349
00:00:00.058.500,-0.2295,-0.8447
00:00:00.058.750,-0.1880,-0.9546
00:00:00.059.000,-0.1392,-1.0547
00:00:00.059.250,-0.0586,-1.1450
00:00:00.059.500,-0.0586,-1.2329
00:00:00.059.750,0.0000,-1.3037
00:00:00.060.000,0.0098,-1.3818
00:00:00.060.250,0.0293,-1.4331
00:00:00.060.500,0.0415,-1.4722
00:00:00.060.750,0.0513,-1.5234
00:00:00.061.000,0.0708,-1.5625
00:00:00.061.250,0.1001,-1.6113
00:00:00.061.500,0.1001,-1.6528
00:00:00.061.750,0.1196,-1.6626
00:00:00.062.000,0.1196,-1.6821
00:00:00.062.250,0.1196,-1.7212
00:00:00.062.500,0.1294,-1.7407
00:00:00.062.750,0.1294,-1.7700
00:00:00.063.000,0.1196,-1.7822
00:00:00.063.250,0.1587,-1.8018
00:00:00.063.500,0.2100,-1.7822
00:00:00.063.750,0.1587,-1.7212
00:00:00.064.000,0.2490,-1.6211
00:00:00.064.250,0.2490,-1.5112
00:00:00.064.500,0.2686,-1.4038
00:00:00.064.750,0.2783,-1.2646
00:00:00.065.000,0.3003,-1.1646
