time,ch0,ch1
00:00:00.050.949,-0.3589,0.0708
00:00:00.051.282,-0.3784,-0.0879
00:00:00.051.615,-0.4077,-0.2686
00:00:00.051.948,-0.3882,-0.4175
00:00:00.052.281,-0.3687,-0.5469
00:00:00.052.614,-0.3076,-0.6665
00:00:00.052.947,-0.2588,-0.7959
00:00:00.053.280,-0.1782,-0.9058
00:00:00.053.613,-0.1294,-1.0059
00:00:00.053.946,-0.0684,-1.0938
00:00:00.054.279,-0.0488,-1.1841
00:00:00.054.612,-0.0195,-1.2744
00:00:00.054.945,0.0000,-1.3135
00:00:00.055.278,0.0000,-1.3721
00:00:00.055.611,0.0415,-1.4331
00:00:00.055.944,0.0415,-1.4722
00:00:00.056.277,0.0610,-1.5112
00:00:00.056.610,0.0610,-1.5527
00:00:00.056.943,0.0513,-1.6016
00:00:00.057.276,0.0806,-1.6211
00:00:00.057.609,0.1099,-1.6309
00:00:00.057.942,0.1709,-1.5430
00:00:00.058.275,0.2002,-1.4233
00:00:00.058.608,0.1904,-1.3135
00:00:00.058.941,0.2393,-1.1841
00:00:00.059.274,0.2588,-1.0254
00:00:00.059.607,0.3198,-0.8447
00:00:00.059.940,0.3491,-0.6372
00:00:00.060.273,0.3589,-0.4468
00:00:00.060.606,0.3882,-0.2686
00:00:00.060.939,0.4492,-0.1001
00:00:00.061.272,0.4785,0.0806
00:00:00.061.605,0.4883,0.2393
00:00:00.061.938,0.4785,0.3784
00:00:00.062.271,0.4785,0.5176
00:00:00.062.604,0.4297,0.6470
00:00:00.062.937,0.3784,0.7666
00:00:00.063.270,0.3003,0.8667
00:00:00.063.603,0.2490,0.9766
00:00:00.063.936,0.2002,1.0645
00:00:00.064.269,0.1587,1.1548
00:00:00.064.602,0.1294,1.2158
00:00:00.064.935,0.0806,1.2842
00:00:00.065.268,0.0610,1.3550
00:00:00.065.601,0.0415,1.4038
00:00:00.065.934,0.0195,1.4429
00:00:00.066.267,0.0000,1.4844
00:00:00.066.600,0.0000,1.5332
00:00:00.066.933,0.0000,1.5527
00:00:00.067.266,-0.0293,1.6138
00:00:00.067.599,-0.0586,1.6235
00:00:00.067.932,-0.0781,1.5332
00:00:00.068.265,-0.1099,1.4233
00:00:00.068.598,-0.1587,1.2939
00:00:00.068.931,-0.1587,1.1548
00:00:00.069.264,-0.1782,1.0254
00:00:00.069.597,-0.2490,0.8472
00:00:00.069.930,-0.2881,0.6372
00:00:00.070.263,-0.2881,0.4395
00:00:00.070.596,-0.3076,0.2588
00:00:00.070.929,-0.3687,0.0903
00:00:00.071.262,-0.3882,-0.1001
00:00:00.071.595,-0.3979,-0.2588
00:00:00.071.928,-0.3882,-0.4077
00:00:00.072.261,-0.3687,-0.5469
00:00:00.072.594,-0.3076,-0.6860
00:00:00.072.927,-0.2490,-0.7861
00:00:00.073.260,-0.1978,-0.9058
00:00:00.073.593,-0.1392,-0.9839
00:00:00.073.926,-0.1099,-1.0938
00:00:00.074.259,-0.0586,-1.1743
00:00:00.074.592,-0.0391,-1.2329
00:00:00.074.925,0.0000,-1.3232
00:00:00.075.258,0.0098,-1.3623
00:00:00.075.591,0.0293,-1.4331
00:00:00.075.924,0.0513,-1.4722
00:00:00.076.257,0.0513,-1.5112
