time,ch0,ch1
00:00:00.222.111,0.4883,0.4590
00:00:00.222.444,0.4492,0.5981
00:00:00.222.777,0.3979,0.7080
00:00:00.223.110,0.3394,0.8472
00:00:00.223.443,0.2783,0.9473
00:00:00.223.776,0.2295,1.0352
00:00:00.224.109,0.1709,1.1255
00:00:00.224.442,0.1392,1.2158
00:00:00.224.775,0.1001,1.2744
00:00:00.225.108,0.0610,1.3354
00:00:00.225.441,0.0415,1.4038
00:00:00.225.774,0.0195,1.4429
00:00:00.226.107,0.0098,1.4941
00:00:00.226.440,-0.0195,1.5332
00:00:00.226.773,-0.0098,1.5625
00:00:00.227.106,0.0098,1.6040
00:00:00.227.439,-0.0391,1.6333
00:00:00.227.772,-0.0684,1.6235
00:00:00.228.105,-0.1392,1.4844
00:00:00.228.438,-0.1294,1.3843
00:00:00.228.771,-0.1685,1.2549
00:00:00.229.104,-0.1685,1.1060
00:00:00.229.437,-0.1880,0.9473
00:00:00.229.770,-0.2686,0.7568
00:00:00.230.103,-0.2979,0.5591
00:00:00.230.436,-0.2881,0.3687
00:00:00.230.769,-0.3369,0.1807
00:00:00.231.102,-0.3589,0.0000
00:00:00.231.435,-0.3784,-0.1587
00:00:00.231.768,-0.3882,-0.3369
00:00:00.232.101,-0.3882,-0.4761
00:00:00.232.434,-0.3369,-0.5957
00:00:00.232.767,-0.2783,-0.7251
00:00:00.233.100,-0.1978,-0.8447
00:00:00.233.433,-0.1685,-0.9448
00:00:00.233.766,-0.1294,-1.0449
00:00:00.234.099,-0.0586,-1.1230
00:00:00.234.432,-0.0293,-1.2134
00:00:00.234.765,-0.0098,-1.2744
00:00:00.235.098,0.0293,-1.3623
00:00:00.235.431,0.0195,-1.3818
00:00:00.235.764,0.0415,-1.4526
00:00:00.236.097,0.0806,-1.4917
00:00:00.236.430,0.0708,-1.5430
00:00:00.236.763,0.0806,-1.5820
00:00:00.237.096,0.0806,-1.6211
00:00:00.237.429,0.0806,-1.6406
00:00:00.237.762,0.1392,-1.6309
00:00:00.238.095,0.1001,-1.5112
00:00:00.238.428,0.2100,-1.4038
00:00:00.238.761,0.2197,-1.2939
00:00:00.239.094,0.2490,-1.1230
00:00:00.239.427,0.2881,-0.9741
00:00:00.239.760,0.3296,-0.7861
00:00:00.240.093,0.3491,-0.5762
00:00:00.240.426,0.3687,-0.3784
00:00:00.240.759,0.4077,-0.2075
00:00:00.241.092,0.4492,-0.0293
00:00:00.241.425,0.4688,0.1392
00:00:00.241.758,0.5078,0.3101
00:00:00.242.091,0.4883,0.4395
00:00:00.242.424,0.4688,0.5786
00:00:00.242.757,0.4077,0.6982
00:00:00.243.090,0.3394,0.8276
00:00:00.243.423,0.2686,0.9253
00:00:00.243.756,0.2197,1.0352
00:00:00.244.089,0.1807,1.1157
00:00:00.244.422,0.1392,1.1841
00:00:00.244.755,0.1001,1.2744
00:00:00.245.088,0.0708,1.3354
00:00:00.245.421,0.0513,1.3940
00:00:00.245.754,0.0195,1.4331
00:00:00.246.087,0.0000,1.4844
00:00:00.246.420,0.0000,1.5234
00:00:00.246.753,0.0000,1.5332
00:00:00.247.086,0.0000,1.5820
00:00:00.247.419,-0.0195,1.6235
00:00:00.247.752,-0.0488,1.5942
00:00:00.248.085,-0.1782,1.5137
00:00:00.248.418,-0.1392,1.4038
00:00:00.248.751,-0.1489,1.2451
00:00:00.249.084,-0.1782,1.1157
00:00:00.249.417,-0.1978,0.9570
00:00:00.249.750,-0.2490,0.7568
00:00:00.250.083,-0.2881,0.5469
00:00:00.250.416,-0.2979,0.3687
00:00:00.250.749,-0.3174,0.2002
00:00:00.251.082,-0.3784,0.0098
00:00:00.251.415,-0.3882,-0.1587
00:00:00.251.748,-0.3979,-0.3076
00:00:00.252.081,-0.3882,-0.4663
00:00:00.252.414,-0.3467,-0.5957
00:00:00.252.747,-0.2881,-0.7153
00:00:00.253.080,-0.2295,-0.8350
00:00:00.253.413,-0.1587,-0.9448
00:00:00.253.746,-0.1099,-1.0449
00:00:00.254.079,-0.0684,-1.1353
00:00:00.254.412,-0.0488,-1.2036
00:00:00.254.745,-0.0098,-1.2842
00:00:00.255.078,0.0000,-1.3525
00:00:00.255.411,0.0415,-1.3940
00:00:00.255.744,0.0513,-1.4624
00:00:00.256.077,0.0513,-1.4917
00:00:00.256.410,0.0806,-1.5430
00:00:00.256.743,0.0806,-1.5820
00:00:00.257.076,0.0903,-1.6016
00:00:00.257.409,0.1001,-1.6406
00:00:00.257.742,0.1392,-1.6309
00:00:00.258.075,0.2490,-1.5234
00:00:00.258.408,0.2100,-1.4136
00:00:00.258.741,0.2100,-1.2842
00:00:00.259.074,0.2393,-1.1353
00:00:00.259.407,0.2783,-0.9839
00:00:00.259.740,0.3198,-0.8057
00:00:00.260.073,0.3589,-0.5957
00:00:00.260.406,0.3687,-0.3882
00:00:00.260.739,0.3979,-0.2173
00:00:00.261.072,0.4395,-0.0488
00:00:00.261.405,0.4590,0.1196
00:00:00.261.738,0.4785,0.3003
00:00:00.262.071,0.4590,0.4395
00:00:00.262.404,0.4395,0.5688
00:00:00.262.737,0.3882,0.6885
00:00:00.263.070,0.3296,0.8179
00:00:00.263.403,0.2686,0.9155
00:00:00.263.736,0.2197,1.0254
00:00:00.264.069,0.1807,1.1157
00:00:00.264.402,0.1294,1.1841
00:00:00.264.735,0.1099,1.2549
00:00:00.265.068,0.0708,1.3232
00:00:00.265.401,0.0513,1.3843
00:00:00.265.734,0.0195,1.4233
00:00:00.266.067,0.0098,1.4746
00:00:00.266.400,0.0098,1.5039
00:00:00.266.733,-0.0098,1.5430
00:00:00.267.066,-0.0098,1.5820
00:00:00.267.399,-0.0293,1.6235
00:00:00.267.732,-0.0684,1.6235
00:00:00.268.065,-0.0391,1.5039
00:00:00.268.398,-0.1294,1.3940
00:00:00.268.731,-0.1489,1.2646
00:00:00.269.064,-0.1685,1.1353
00:00:00.269.397,-0.1978,0.9863
00:00:00.269.730,-0.2393,0.7959
00:00:00.270.063,-0.3076,0.5786
00:00:00.270.396,-0.3076,0.3882
00:00:00.270.729,-0.3271,0.2100
00:00:00.271.062,-0.3589,0.0293
00:00:00.271.395,-0.3979,-0.1489
00:00:00.271.728,-0.3979,-0.3076
00:00:00.272.061,-0.3882,-0.4468
00:00:00.272.394,-0.3589,-0.5859
00:00:00.272.727,-0.2881,-0.7056
00:00:00.273.060,-0.2075,-0.8252
00:00:00.273.393,-0.1587,-0.9351
00:00:00.273.726,-0.1099,-1.0352
00:00:00.274.059,-0.0488,-1.1230
00:00:00.274.392,-0.0391,-1.2134
00:00:00.274.725,0.0000,-1.2842
00:00:00.275.058,0.0098,-1.3525
00:00:00.275.391,0.0293,-1.4136
00:00:00.275.724,0.0610,-1.4624
00:00:00.276.057,0.0610,-1.4917
00:00:00.276.390,0.0806,-1.5234
00:00:00.276.723,0.1001,-1.5625
00:00:00.277.056,0.0708,-1.6113
00:00:00.277.389,0.0903,-1.6406
00:00:00.277.722,0.1099,-1.6309
00:00:00.278.055,0.4980,-1.5332
00:00:00.278.388,0.1904,-1.4233
00:00:00.278.721,0.2197,-1.2939
00:00:00.279.054,0.2295,-1.1450
00:00:00.279.387,0.2686,-1.0059
00:00:00.279.720,0.3101,-0.8154
00:00:00.280.053,0.3491,-0.6055
00:00:00.280.386,0.3784,-0.4077
00:00:00.280.719,0.3882,-0.2393
00:00:00.281.052,0.4492,-0.0488
00:00:00.281.385,0.4688,0.1196
00:00:00.281.718,0.4688,0.2783
00:00:00.282.051,0.4688,0.4297
00:00:00.282.384,0.4590,0.5688
00:00:00.282.717,0.4077,0.6763
00:00:00.283.050,0.3589,0.7959
00:00:00.283.383,0.2881,0.9155
00:00:00.283.716,0.2295,1.0156
00:00:00.284.049,0.1807,1.1060
00:00:00.284.382,0.1489,1.1743
00:00:00.284.715,0.1099,1.2549
00:00:00.285.048,0.0806,1.3135
00:00:00.285.381,0.0610,1.3745
00:00:00.285.714,0.0293,1.4136
00:00:00.286.047,0.0098,1.4526
00:00:00.286.380,0.0000,1.4844
00:00:00.286.713,0.0000,1.5234
00:00:00.287.046,0.0098,1.5723
00:00:00.287.379,-0.0195,1.6235
00:00:00.287.712,-0.0488,1.6235
00:00:00.288.045,-0.4175,1.5137
00:00:00.288.378,-0.1392,1.3940
00:00:00.288.711,-0.1489,1.2842
00:00:00.289.044,-0.1880,1.1450
00:00:00.289.377,-0.2075,0.9961
00:00:00.289.710,-0.2393,0.8057
00:00:00.290.043,-0.2783,0.5884
00:00:00.290.376,-0.2979,0.4077
00:00:00.290.709,-0.3271,0.2197
00:00:00.291.042,-0.3589,0.0610
00:00:00.291.375,-0.3589,-0.1294
00:00:00.291.708,-0.3882,-0.2881
00:00:00.292.041,-0.3882,-0.4370
00:00:00.292.374,-0.3271,-0.5664
00:00:00.292.707,-0.2979,-0.6958
00:00:00.293.040,-0.2173,-0.8350
00:00:00.293.373,-0.1685,-0.9253
00:00:00.293.706,-0.1001,-1.0254
00:00:00.294.039,-0.0879,-1.1133
00:00:00.294.372,-0.0293,-1.1841
00:00:00.294.705,-0.0195,-1.2744
00:00:00.295.038,0.0098,-1.3330
00:00:00.295.371,0.0195,-1.3940
00:00:00.295.704,0.0293,-1.4331
00:00:00.296.037,0.0708,-1.4819
00:00:00.296.370,0.0806,-1.5430
00:00:00.296.703,0.0806,-1.5527
00:00:00.297.036,0.0708,-1.6016
00:00:00.297.369,0.0903,-1.6528
00:00:00.297.702,0.0903,-1.6309
00:00:00.298.035,0.1807,-1.5527
00:00:00.298.368,0.1904,-1.4331
00:00:00.298.701,0.2197,-1.3232
00:00:00.299.034,0.2393,-1.1646
00:00:00.299.367,0.2783,-1.0156
00:00:00.299.700,0.2881,-0.8447
00:00:00.300.033,0.3491,-0.6177
00:00:00.300.366,0.3589,-0.4272
00:00:00.300.699,0.4175,-0.2588
00:00:00.301.032,0.4492,-0.0586
00:00:00.301.365,0.4883,0.1099
00:00:00.301.698,0.4980,0.2588
00:00:00.302.031,0.4785,0.4175
00:00:00.302.364,0.4590,0.5469
00:00:00.302.697,0.4395,0.6763
00:00:00.303.030,0.3687,0.7959
00:00:00.303.363,0.2881,0.9058
00:00:00.303.696,0.2393,0.9961
00:00:00.304.029,0.1807,1.0864
00:00:00.304.362,0.1489,1.1743
00:00:00.304.695,0.1294,1.2549
00:00:00.305.028,0.0903,1.3037
00:00:00.305.361,0.0513,1.3940
00:00:00.305.694,0.0195,1.4331
00:00:00.306.027,0.0195,1.4526
00:00:00.306.360,0.0000,1.4941
00:00:00.306.693,-0.0098,1.5430
00:00:00.307.026,0.0000,1.5820
00:00:00.307.359,-0.0293,1.6333
00:00:00.307.692,-0.1001,1.6333
00:00:00.308.025,-0.1099,1.5430
00:00:00.308.358,-0.1489,1.4331
00:00:00.308.691,-0.1587,1.3037
00:00:00.309.024,-0.1782,1.1743
00:00:00.309.357,-0.2173,1.0254
00:00:00.309.690,-0.2588,0.8374
00:00:00.310.023,-0.2881,0.6177
00:00:00.310.356,-0.2979,0.4175
00:00:00.310.689,-0.3076,0.2393
00:00:00.311.022,-0.3467,0.0610
00:00:00.311.355,-0.3589,-0.1196
00:00:00.311.688,-0.3784,-0.2783
00:00:00.312.021,-0.3784,-0.4468
00:00:00.312.354,-0.3467,-0.5762
00:00:00.312.687,-0.2881,-0.7056
00:00:00.313.020,-0.2295,-0.8252
00:00:00.313.353,-0.1685,-0.9448
00:00:00.313.686,-0.1294,-1.0547
00:00:00.314.019,-0.0684,-1.1230
00:00:00.314.352,-0.0488,-1.2036
00:00:00.314.685,0.0000,-1.2842
00:00:00.315.018,0.0195,-1.3428
00:00:00.315.351,0.0293,-1.4136
00:00:00.315.684,0.0610,-1.4526
00:00:00.316.017,0.0610,-1.5015
00:00:00.316.350,0.0806,-1.5430
00:00:00.316.683,0.0806,-1.5820
00:00:00.317.016,0.0806,-1.6113
00:00:00.317.349,0.1099,-1.6626
00:00:00.317.682,0.1001,-1.6626
00:00:00.318.015,0.1807,-1.5820
00:00:00.318.348,0.2197,-1.4624
00:00:00.318.681,0.2100,-1.3232
00:00:00.319.014,0.2295,-1.1938
00:00:00.319.347,0.2783,-1.0254
00:00:00.319.680,0.3101,-0.8765
00:00:00.320.013,0.3589,-0.6470
00:00:00.320.346,0.3784,-0.4370
00:00:00.320.679,0.4077,-0.2686
00:00:00.321.012,0.4590,-0.0781
00:00:00.321.345,0.4785,0.1001
00:00:00.321.678,0.4980,0.2686
00:00:00.322.011,0.4688,0.4077
00:00:00.322.344,0.4688,0.5371
00:00:00.322.677,0.4297,0.6763
00:00:00.323.010,0.3687,0.7959
00:00:00.323.343,0.2783,0.9058
00:00:00.323.676,0.2393,1.0059
00:00:00.324.009,0.2002,1.0962
00:00:00.324.342,0.1489,1.1841
00:00:00.324.675,0.1001,1.2744
00:00:00.325.008,0.0610,1.3135
00:00:00.325.341,0.0513,1.3745
00:00:00.325.674,-0.0098,1.4233
00:00:00.326.007,0.0195,1.4648
00:00:00.326.340,0.0000,1.5137
00:00:00.326.673,-0.0293,1.5527
00:00:00.327.006,-0.0098,1.5942
00:00:00.327.339,-0.0293,1.6333
00:00:00.327.672,-0.1001,1.6528
00:00:00.328.005,-0.1196,1.5820
00:00:00.328.338,-0.1587,1.4844
00:00:00.328.671,-0.1685,1.3550
00:00:00.329.004,-0.1782,1.2158
00:00:00.329.337,-0.2173,1.0547
00:00:00.329.670,-0.2588,0.8667
00:00:00.330.003,-0.2979,0.6567
00:00:00.330.336,-0.3174,0.4395
00:00:00.330.669,-0.3271,0.2686
00:00:00.331.002,-0.3589,0.0806
00:00:00.331.335,-0.3882,-0.1001
00:00:00.331.668,-0.3979,-0.2783
00:00:00.332.001,-0.3979,-0.4468
00:00:00.332.334,-0.3369,-0.5859
00:00:00.332.667,-0.2881,-0.7153
00:00:00.333.000,-0.2075,-0.8350
00:00:00.333.333,-0.1685,-0.9448
00:00:00.333.666,-0.1099,-1.0547
00:00:00.333.999,-0.0586,-1.1548
00:00:00.334.332,-0.0488,-1.2231
00:00:00.334.665,-0.0098,-1.2939
00:00:00.334.998,0.0000,-1.3428
00:00:00.335.331,0.0293,-1.4038
00:00:00.335.664,0.0293,-1.4526
00:00:00.335.997,0.0610,-1.5112
00:00:00.336.330,0.0806,-1.5430
00:00:00.336.663,0.1001,-1.5820
00:00:00.336.996,0.0903,-1.6211
00:00:00.337.329,0.0806,-1.6724
00:00:00.337.662,0.1196,-1.6919
00:00:00.337.995,0.2100,-1.6406
00:00:00.338.328,0.2197,-1.5332
00:00:00.338.661,0.2490,-1.3940
00:00:00.338.994,0.2588,-1.2329
00:00:00.339.327,0.2881,-1.0742
00:00:00.339.660,0.3101,-0.8862
00:00:00.339.993,0.3687,-0.6763
00:00:00.340.326,0.3882,-0.4565
00:00:00.340.659,0.3979,-0.2783
00:00:00.340.992,0.4395,-0.0879
00:00:00.341.325,0.4688,0.0903
00:00:00.341.658,0.4883,0.2588
00:00:00.341.991,0.4688,0.4175
00:00:00.342.324,0.4590,0.5591
00:00:00.342.657,0.4175,0.7080
00:00:00.342.990,0.3687,0.8276
00:00:00.343.323,0.2686,0.9351
00:00:00.343.656,0.2295,1.0449
00:00:00.343.989,0.1807,1.1450
00:00:00.344.322,0.1392,1.2256
00:00:00.344.655,0.0806,1.2744
00:00:00.344.988,0.0708,1.3232
00:00:00.345.321,0.0293,1.3843
00:00:00.345.654,0.0000,1.4233
00:00:00.345.987,0.0000,1.4844
00:00:00.346.320,-0.0098,1.5137
00:00:00.346.653,-0.0391,1.5527
00:00:00.346.986,-0.0195,1.6138
00:00:00.347.319,-0.0195,1.6724
00:00:00.347.652,-0.0879,1.7017
00:00:00.347.985,-0.1099,1.6626
00:00:00.348.318,-0.1489,1.5234
00:00:00.348.651,-0.1587,1.3843
00:00:00.348.984,-0.1978,1.2354
00:00:00.349.317,-0.2173,1.0645
00:00:00.349.650,-0.2588,0.8862
00:00:00.349.983,-0.3076,0.6665
00:00:00.350.316,-0.2881,0.4688
00:00:00.350.649,-0.3271,0.2881
00:00:00.350.982,-0.3687,0.0806
00:00:00.351.315,-0.3882,-0.1001
00:00:00.351.648,-0.3882,-0.2783
00:00:00.351.981,-0.3687,-0.4468
00:00:00.352.314,-0.3467,-0.5664
00:00:00.352.647,-0.2979,-0.7153
00:00:00.352.980,-0.2075,-0.8447
00:00:00.353.313,-0.1685,-0.9448
00:00:00.353.646,-0.1196,-1.0645
00:00:00.353.979,-0.0684,-1.1450
00:00:00.354.312,-0.0391,-1.2329
00:00:00.354.645,-0.0098,-1.3135
00:00:00.354.978,0.0195,-1.3623
00:00:00.355.311,0.0513,-1.4331
00:00:00.355.644,0.0610,-1.4722
00:00:00.355.977,0.0610,-1.5234
00:00:00.356.310,0.0806,-1.5625
00:00:00.356.643,0.1001,-1.6113
00:00:00.356.976,0.1099,-1.6724
00:00:00.357.309,0.1001,-1.7114
00:00:00.357.642,0.1196,-1.7310
00:00:00.357.975,0.1904,-1.6724
00:00:00.358.308,0.2393,-1.5430
00:00:00.358.641,0.2393,-1.4038
00:00:00.358.974,0.2490,-1.2646
00:00:00.359.307,0.2881,-1.0938
00:00:00.359.640,0.3198,-0.9155
00:00:00.359.973,0.3491,-0.6958
00:00:00.360.306,0.3784,-0.4883
00:00:00.360.639,0.4175,-0.2881
00:00:00.360.972,0.4688,-0.1001
00:00:00.361.305,0.4590,0.0708
00:00:00.361.638,0.4883,0.2588
00:00:00.361.971,0.4688,0.4077
00:00:00.362.304,0.4688,0.5591
00:00:00.362.637,0.4395,0.6982
00:00:00.362.970,0.3687,0.8374
00:00:00.363.303,0.2686,0.9351
00:00:00.363.636,0.2393,1.0449
00:00:00.363.969,0.1807,1.1353
00:00:00.364.302,0.1392,1.2256
00:00:00.364.635,0.0806,1.2939
00:00:00.364.968,0.0513,1.3647
00:00:00.365.301,0.0513,1.4233
00:00:00.365.634,0.0098,1.4648
00:00:00.365.967,0.0000,1.5137
00:00:00.366.300,-0.0098,1.5527
00:00:00.366.633,-0.0391,1.5723
00:00:00.366.966,-0.0293,1.6528
00:00:00.367.299,-0.0391,1.6821
00:00:00.367.632,-0.0879,1.7334
00:00:00.367.965,-0.1392,1.6626
00:00:00.368.298,-0.1685,1.5430
00:00:00.368.631,-0.1782,1.4136
00:00:00.368.964,-0.2075,1.2549
00:00:00.369.297,-0.2490,1.1157
00:00:00.369.630,-0.2490,0.9253
00:00:00.369.963,-0.2881,0.6982
00:00:00.370.296,-0.3271,0.4883
00:00:00.370.629,-0.3369,0.3003
00:00:00.370.962,-0.3589,0.1099
00:00:00.371.295,-0.3784,-0.0879
00:00:00.371.628,-0.3784,-0.2686
00:00:00.371.961,-0.3784,-0.4370
00:00:00.372.294,-0.3467,-0.5859
00:00:00.372.627,-0.2686,-0.7153
00:00:00.372.960,-0.2075,-0.8545
00:00:00.373.293,-0.1392,-0.9741
00:00:00.373.626,-0.1099,-1.0645
00:00:00.373.959,-0.0684,-1.1743
00:00:00.374.292,-0.0195,-1.2427
00:00:00.374.625,0.0000,-1.3135
00:00:00.374.958,0.0293,-1.3721
00:00:00.375.291,0.0610,-1.4331
00:00:00.375.624,0.0708,-1.4917
00:00:00.375.957,0.1001,-1.5332
00:00:00.376.290,0.0903,-1.5723
00:00:00.376.623,0.1001,-1.6211
00:00:00.376.956,0.1196,-1.6626
00:00:00.377.289,0.1196,-1.7212
00:00:00.377.622,0.1392,-1.7407
00:00:00.377.955,0.1904,-1.6724
00:00:00.378.288,0.2295,-1.5527
00:00:00.378.621,0.2295,-1.4331
00:00:00.378.954,0.2588,-1.2744
00:00:00.379.287,0.2783,-1.1230
00:00:00.379.620,0.3296,-0.9351
00:00:00.379.953,0.3589,-0.7251
00:00:00.380.286,0.3687,-0.5078
00:00:00.380.619,0.3687,-0.3076
00:00:00.380.952,0.4492,-0.1294
00:00:00.381.285,0.4395,0.0610
00:00:00.381.618,0.4590,0.2295
00:00:00.381.951,0.4590,0.3979
00:00:00.382.284,0.4395,0.5371
00:00:00.382.617,0.4297,0.6885
00:00:00.382.950,0.3784,0.8057
00:00:00.383.283,0.2881,0.9155
00:00:00.383.616,0.2295,1.0156
00:00:00.383.949,0.1904,1.0962
00:00:00.384.282,0.1294,1.2061
00:00:00.384.615,0.0903,1.2744
00:00:00.384.948,0.0513,1.3550
00:00:00.385.281,0.0513,1.4136
00:00:00.385.614,0.0000,1.4648
00:00:00.385.947,0.0000,1.4941
00:00:00.386.280,-0.0098,1.5527
00:00:00.386.613,-0.0195,1.5820
00:00:00.386.946,-0.0195,1.6138
00:00:00.387.279,-0.0391,1.6821
00:00:00.387.612,-0.0781,1.6919
00:00:00.387.945,-0.1099,1.6040
00:00:00.388.278,-0.1587,1.5039
00:00:00.388.611,-0.1685,1.3745
00:00:00.388.944,-0.1685,1.2549
00:00:00.389.277,-0.2075,1.0767
00:00:00.389.610,-0.2490,0.9155
00:00:00.389.943,-0.2881,0.7080
00:00:00.390.276,-0.2881,0.4883
00:00:00.390.609,-0.3174,0.3003
00:00:00.390.942,-0.3589,0.1196
00:00:00.391.275,-0.3882,-0.0684
00:00:00.391.608,-0.3882,-0.2393
00:00:00.391.941,-0.3784,-0.4175
00:00:00.392.274,-0.3589,-0.5664
00:00:00.392.607,-0.2979,-0.6958
00:00:00.392.940,-0.2173,-0.8350
00:00:00.393.273,-0.1587,-0.9351
00:00:00.393.606,-0.1196,-1.0449
00:00:00.393.939,-0.0781,-1.1450
00:00:00.394.272,-0.0293,-1.2427
00:00:00.394.605,-0.0195,-1.3037
00:00:00.394.938,0.0293,-1.3721
00:00:00.395.271,0.0415,-1.4233
00:00:00.395.604,0.0513,-1.4819
00:00:00.395.937,0.0903,-1.5332
00:00:00.396.270,0.1001,-1.5723
00:00:00.396.603,0.1196,-1.6113
00:00:00.396.936,0.1099,-1.6626
00:00:00.397.269,0.0903,-1.7114
00:00:00.397.602,0.1489,-1.7603
00:00:00.397.935,0.2002,-1.6821
00:00:00.398.268,0.2197,-1.5527
00:00:00.398.601,0.2588,-1.4331
00:00:00.398.934,0.2588,-1.2744
00:00:00.399.267,0.2783,-1.1230
00:00:00.399.600,0.3101,-0.9448
00:00:00.399.933,0.3491,-0.7349
00:00:00.400.266,0.3882,-0.5078
00:00:00.400.599,0.3882,-0.3271
00:00:00.400.932,0.4175,-0.1294
00:00:00.401.265,0.4688,0.0513
00:00:00.401.598,0.4785,0.2197
00:00:00.401.931,0.4688,0.3882
00:00:00.402.264,0.4590,0.5273
00:00:00.402.597,0.4297,0.6763
00:00:00.402.930,0.3784,0.8057
00:00:00.403.263,0.3003,0.9253
00:00:00.403.596,0.2295,1.0254
00:00:00.403.929,0.1489,1.1157
00:00:00.404.262,0.1392,1.2158
00:00:00.404.595,0.0903,1.2939
00:00:00.404.928,0.0513,1.3647
00:00:00.405.261,0.0415,1.4136
00:00:00.405.594,0.0195,1.4746
00:00:00.405.927,0.0000,1.5137
00:00:00.406.260,-0.0195,1.5527
00:00:00.406.593,-0.0391,1.5942
00:00:00.406.926,-0.0195,1.6235
00:00:00.407.259,-0.0488,1.6821
00:00:00.407.592,-0.1001,1.7114
00:00:00.407.925,-0.1099,1.6431
00:00:00.408.258,-0.1392,1.5332
00:00:00.408.591,-0.1587,1.4038
00:00:00.408.924,-0.1978,1.2646
00:00:00.409.257,-0.2295,1.1157
00:00:00.409.590,-0.2588,0.9253
00:00:00.409.923,-0.2783,0.7178
00:00:00.410.256,-0.2881,0.5078
00:00:00.410.589,-0.3174,0.3198
00:00:00.410.922,-0.3467,0.1196
00:00:00.411.255,-0.3687,-0.0586
00:00:00.411.588,-0.3784,-0.2393
00:00:00.411.921,-0.3979,-0.3979
00:00:00.412.254,-0.3687,-0.5664
00:00:00.412.587,-0.3076,-0.6958
00:00:00.412.920,-0.2490,-0.8154
00:00:00.413.253,-0.1782,-0.9351
00:00:00.413.586,-0.1196,-1.0449
00:00:00.413.919,-0.0781,-1.1353
00:00:00.414.252,-0.0391,-1.2231
00:00:00.414.585,0.0000,-1.2939
00:00:00.414.918,0.0293,-1.3525
00:00:00.415.251,0.0195,-1.4233
00:00:00.415.584,0.0513,-1.4624
00:00:00.415.917,0.0708,-1.5234
00:00:00.416.250,0.1001,-1.5723
00:00:00.416.583,0.0903,-1.6113
00:00:00.416.916,0.1001,-1.6406
00:00:00.417.249,0.0903,-1.7017
00:00:00.417.582,0.1392,-1.7407
00:00:00.417.915,0.1807,-1.7017
00:00:00.418.248,0.2100,-1.5625
00:00:00.418.581,0.2490,-1.4331
00:00:00.418.914,0.2490,-1.2939
00:00:00.419.247,0.2881,-1.1230
00:00:00.419.580,0.3101,-0.9546
00:00:00.419.913,0.3491,-0.7471
00:00:00.420.246,0.3687,-0.5273
00:00:00.420.579,0.3784,-0.3369
00:00:00.420.912,0.4492,-0.1489
00:00:00.421.245,0.4492,0.0293
00:00:00.421.578,0.4980,0.2197
00:00:00.421.911,0.4590,0.3784
00:00:00.422.244,0.4688,0.5176
00:00:00.422.577,0.4077,0.6470
00:00:00.422.910,0.3882,0.7959
00:00:00.423.243,0.3003,0.9058
00:00:00.423.576,0.2490,1.0254
00:00:00.423.909,0.1807,1.1060
00:00:00.424.242,0.1196,1.1938
00:00:00.424.575,0.1001,1.2646
00:00:00.424.908,0.0513,1.3452
00:00:00.425.241,0.0513,1.3843
00:00:00.425.574,0.0000,1.4429
00:00:00.425.907,-0.0098,1.4941
00:00:00.426.240,-0.0098,1.5332
00:00:00.426.573,-0.0391,1.5723
00:00:00.426.906,-0.0391,1.6235
00:00:00.427.239,-0.0293,1.6724
00:00:00.427.572,-0.0879,1.6919
00:00:00.427.905,-0.1196,1.6528
00:00:00.428.238,-0.1587,1.5234
00:00:00.428.571,-0.1880,1.4038
00:00:00.428.904,-0.1978,1.2451
00:00:00.429.237,-0.1978,1.1157
00:00:00.429.570,-0.2393,0.9155
00:00:00.429.903,-0.2881,0.7275
00:00:00.430.236,-0.2979,0.5176
00:00:00.430.569,-0.3271,0.3198
00:00:00.430.902,-0.3589,0.1392
00:00:00.431.235,-0.3687,-0.0391
00:00:00.431.568,-0.3687,-0.2295
00:00:00.431.901,-0.3784,-0.3882
00:00:00.432.234,-0.3467,-0.5469
00:00:00.432.567,-0.2783,-0.6763
00:00:00.432.900,-0.2295,-0.8154
00:00:00.433.233,-0.1782,-0.9155
00:00:00.433.566,-0.1196,-1.0352
00:00:00.433.899,-0.0781,-1.1230
00:00:00.434.232,-0.0391,-1.2231
00:00:00.434.565,0.0000,-1.2646
00:00:00.434.898,0.0195,-1.3428
00:00:00.435.231,0.0293,-1.4038
00:00:00.435.564,0.0513,-1.4722
00:00:00.435.897,0.0708,-1.5112
00:00:00.436.230,0.0708,-1.5430
00:00:00.436.563,0.0806,-1.5820
00:00:00.436.896,0.0903,-1.6309
00:00:00.437.229,0.1001,-1.6724
00:00:00.437.562,0.1099,-1.7114
00:00:00.437.895,0.1489,-1.6626
00:00:00.438.228,0.1904,-1.5112
00:00:00.438.561,0.2295,-1.4038
00:00:00.438.894,0.2295,-1.2744
00:00:00.439.227,0.2490,-1.1230
00:00:00.439.560,0.2881,-0.9351
00:00:00.439.893,0.3198,-0.7471
00:00:00.440.226,0.3784,-0.5273
00:00:00.440.559,0.3784,-0.3369
00:00:00.440.892,0.4395,-0.1782
00:00:00.441.225,0.4492,0.0195
00:00:00.441.558,0.4785,0.2002
00:00:00.441.891,0.4590,0.3491
00:00:00.442.224,0.4492,0.4980
00:00:00.442.557,0.4297,0.6274
00:00:00.442.890,0.3784,0.7666
00:00:00.443.223,0.3003,0.8862
00:00:00.443.556,0.2393,0.9961
00:00:00.443.889,0.2100,1.0864
00:00:00.444.222,0.1587,1.1743
00:00:00.444.555,0.1196,1.2354
